Comparison,iPhone 13,iPhone12
Preview,,
Announced,"2022, February 09","2021, September 13"
Status,"Available. Released 2022, February 24","Available. Released 2021, September 25"
Size,6.1 inches,6.1 inches
Weight,6.14 ounces,5.78 ounces
Processor,A15,A14
Chipset,Apple A15 Bionic (5 nm),Exynos 2200 (4 nm) - Europe
Camera,"12 MP, f/1.6, 26mm (wide), 1.7µm,
dual pixel PDAF, sensor-shift OIS","12 MP, f/1.6, 26mm (wide), 1.7µm,
dual pixel PDAF, sensor-shift OIS"
Battery,"Li-Ion 3240 mAh, non-removable","Li-Ion 3000 mAh, non-removable"
Resolution,2532x1170,2532x1170
